world,conflict_shift,theta_true,method,n_replicates,bias,bias_mcse,empirical_se,rmse,rmse_mcse,coverage95,coverage95_mcse,interval_width,interval_width_mcse,reject_rate,reject_rate_mcse,calibration_rate,calibration_rate_mcse,type1,type1_mcse,power,power_mcse,oracle_spearman,oracle_spearman_mcse,oracle_kl,oracle_kl_mcse,ess_d000_005,ess_d005_010,ess_d010_020,ess_d020_plus,prior_ess,prior_ess_mcse,hist_mass,hist_mass_mcse,mean_nll,mean_nll_mcse,roc_auc,roc_auc_mcse,pr_auc,pr_auc_mcse,sensitivity,specificity,fpr,ppv,npv,f1,sensitivity_mcse,specificity_mcse,fpr_mcse,ppv_mcse,roc_auc_obs,oracle_spearman_obs
null,0.0,0.2,weak_only,2000,0.019444125065384996,0.001508062798467568,0.06744261863424096,0.07017340346882056,0.001227162390789156,0.9525,0.00475624589355933,0.26735140012515646,0.0009853602711272595,0.037,0.0042208411483968455,0.037,0.0042208411483968455,0.037,0.0042208411483968455,0.8675,0.007581020709640621,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.493020416493162,0.0052305820537862395,0.5,0.0,0.43992788537930017,0.004820363620468693,0.0,1.0,0.0,nan,0.707875,nan,0.0,0.0,0.0,nan,0.5,nan
null,0.0,0.2,eb_only,2000,0.015480938384985894,0.0014504564200671268,0.06486638307342171,0.0666723577090319,0.0011535135659512443,0.9595,0.004407933189148855,0.26110046032540674,0.0009348335103101335,0.03,0.00381444622455213,0.03,0.00381444622455213,0.03,0.00381444622455213,0.8745,0.007407757757918383,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.053600491840649,0.00519258056011566,0.5,0.0,0.43992788537930017,0.004820363620468693,0.0,1.0,0.0,nan,0.707875,nan,0.0,0.0,0.0,nan,0.5,nan
null,0.0,0.2,rule,2000,0.011345391636054443,0.0013751562713651742,0.061498858049153546,0.06252148748993995,0.0011335871029769958,0.9565,0.004561126505590477,0.249665951689612,0.0009246392346738667,0.029,0.003752265982043384,0.029,0.003752265982043384,0.029,0.003752265982043384,0.891,0.006968464680257768,0.1115721668437195,0.0074457406292799564,4.8057536316337215,0.11011882720220162,nan,nan,nan,nan,13.134423886531946,0.06876155702165485,0.8000000000000003,5.497539218637292e-18,2.982585267310114,0.008934062038405934,0.5532695559118989,0.005038697735837127,0.4812257617160072,0.00511363632067109,0.7090286692340607,0.34857849196538937,0.6514215080346106,0.30995136550692104,0.7437829691032404,0.4313419237277105,0.005424591193976848,0.003655926298270881,0.003655926298270881,0.0036518381629369314,0.5814159432977404,0.14974102607666215
null,0.0,0.2,rule_sam,2000,0.011257742233520716,0.001388345638408045,0.06208870447491463,0.06308578667146818,0.0011501674136656698,0.9555,0.004610843198374891,0.2496596951188986,0.0009296542564745444,0.03,0.00381444622455213,0.03,0.00381444622455213,0.03,0.00381444622455213,0.889,0.007024208140424086,0.1115721668437195,0.0074457406292799564,4.8057536316337215,0.11011882720220162,nan,nan,nan,nan,12.872555054850064,0.07225404793287629,0.7843286734222688,0.0016230158086179285,2.972339458820039,0.00838384764664637,0.5532695559118989,0.005038697735837127,0.4812257617160072,0.00511363632067109,0.7090286692340607,0.34857849196538937,0.6514215080346106,0.30995136550692104,0.7437829691032404,0.4313419237277105,0.005424591193976848,0.003655926298270881,0.003655926298270881,0.0036518381629369314,0.5814159432977404,0.14974102607666215
null,0.0,0.2,two_head,2000,0.00918430456819771,0.0013442550143286651,0.060116911822676984,0.06079956838624259,0.0011415472875973274,0.955,0.004635461142108735,0.24045127434292865,0.0010179775272765785,0.026,0.003558370413546066,0.026,0.003558370413546066,0.026,0.003558370413546066,0.8905,0.006982469119158352,0.13759820027934436,0.007368576759776917,4.866483881296632,0.11001412409252023,43.57334465500657,43.47786383846591,43.54411741293906,43.61785304344228,36.012844030222,0.21688269568972876,0.8000000000000003,5.456447119169965e-18,2.942224084423462,0.011330642358622077,0.5891727838406503,0.005177294541964016,0.5258112369914913,0.005541488979736061,0.6449864498644986,0.47983989640355523,0.5201601035964447,0.33849839059809866,0.7660934122732825,0.4439862542955326,0.005714888698759433,0.0038329467738793493,0.0038329467738793498,0.0040940843083492095,0.6160956669728032,0.1763518340135244
null,0.0,0.2,two_head_pro,2000,0.009374700972874706,0.0013354398821309934,0.059722687126184164,0.06043923374947862,0.0011366333150224534,0.9545,0.004659922209651143,0.23982499161451815,0.0009997213701920529,0.025,0.0034910600109422352,0.025,0.0034910600109422352,0.025,0.0034910600109422352,0.8915,0.00695441406590088,0.14642209935768444,0.0073988298141789925,4.8623008435959605,0.1098903891543152,33.79222610958194,30.271297101751593,26.085617857767247,20.445263966618793,32.239833586371844,0.2131094637304852,0.8000000000000003,5.495015031428354e-18,2.9267768071907367,0.011626141163123776,0.5956380047986723,0.005182889663687477,0.5325828542290927,0.0056640795769981895,0.648837541006989,0.4915533580552122,0.5084466419447877,0.34496094638659286,0.7723111070008324,0.4504406376868997,0.005700750605401238,0.003835518812134171,0.0038355188121341715,0.004139477811177057,0.623691646309461,0.18715414193949262
null,0.0,0.2,two_head_pro_sam,2000,0.009743258372011227,0.0013631091051815817,0.060960092398698554,0.06171876442808137,0.0011611651138060688,0.9505,0.004850244839180801,0.2395434459324155,0.0009932974311321274,0.0285,0.0037207358143249033,0.0285,0.0037207358143249033,0.0285,0.0037207358143249033,0.8885,0.00703803061942757,0.14642209935768444,0.0073988298141789925,4.8623008435959605,0.1098903891543152,nan,nan,nan,nan,30.78847370285777,0.22855782872696107,0.7657566372919774,0.0026242644668897108,2.8972867967434905,0.010143221123311695,0.5956380047986723,0.005182889663687477,0.5325828542290927,0.0056640795769981895,0.648837541006989,0.4915533580552122,0.5084466419447877,0.34496094638659286,0.7723111070008324,0.4504406376868997,0.005700750605401238,0.003835518812134171,0.0038355188121341715,0.004139477811177057,0.623691646309461,0.18715414193949262
null,0.0,0.2,two_head_pro_fixdisc,2000,0.011535265482326086,0.0013509932320528335,0.060418254080245676,0.061494736304335954,0.001122051199557189,0.9595,0.004407933189148855,0.24705320775969963,0.0009100033807682665,0.027,0.0036242930345103167,0.027,0.0036242930345103167,0.027,0.0036242930345103167,0.895,0.006854742883580681,0.1532526449790812,0.007451671086771146,4.83138261826132,0.11025410516830833,15.254198120474507,15.222868638538504,15.247795402607876,15.275849780701773,13.085278549513948,0.08258730863445843,0.8000000000000003,5.491086211640034e-18,2.9307506640837677,0.009445803429893316,0.5952956114687136,0.005177782022297346,0.5304884594811359,0.005609277595302017,0.650549137070318,0.4888457237035729,0.5111542762964272,0.3443563608909022,0.7721989772198977,0.4503357030015798,0.00569433649938418,0.0038351115560692124,0.003835111556069212,0.004128687377886206,0.6228433162728864,0.1919604740839048
null,0.0,0.2,selective_pro,2000,0.006995436572248556,0.001317026915933365,0.0588992342444781,0.05929857812397327,0.001127179471528679,0.953,0.004732388403332932,0.23143430463078846,0.0009863718010269063,0.024,0.00342227994179319,0.024,0.00342227994179319,0.024,0.00342227994179319,0.898,0.006767421961131136,0.14217231748545364,0.007365194846313041,4.811411652339166,0.11005893612815912,43.58340793505668,43.49389033112561,43.565100409419344,43.64524166283508,43.56817996810932,0.2428129290521417,0.999999999971504,1.2718301693495064e-12,2.8608120913413555,0.013631025566396284,0.5947983772214793,0.005187788507323946,0.530838105743117,0.005624767246552319,0.6795036371416345,0.438283595267526,0.561716404732474,0.3329838540574544,0.7681832250077375,0.44694624261187726,0.0055733646918567905,0.003806731565840698,0.003806731565840698,0.003940083925529754,0.6224309489683648,0.18257052209679134
null,0.0,0.2,selective_base,2000,0.008463562669927932,0.0013211685184181124,0.05908445233831165,0.05967293285009511,0.0011212273508800063,0.9555,0.004610843198374891,0.23635071789737172,0.0009559596666173031,0.026,0.003558370413546066,0.026,0.003558370413546066,0.026,0.003558370413546066,0.898,0.006767421961131136,0.13837520850819035,0.007375688551661319,4.814880214735979,0.11017364215947886,28.98214758465825,28.5161078693434,28.069802789540336,27.603094898803516,31.182534141385382,0.22647997037218556,0.9999999933378506,4.193374917563397e-10,2.859657956187279,0.012261065058018225,0.5906902223116228,0.0051847967734732926,0.5274579491685263,0.005551825164645051,0.6712309228355442,0.43946082759432575,0.5605391724056743,0.3307330100498981,0.7640978405485621,0.4431261770244822,0.005610369638225214,0.003807844110199516,0.003807844110199516,0.003944130576815876,0.6177259761930917,0.17710279329805453
