world,drift_shift,treatment_effect,method,n_replicates,reject_rate,reject_rate_mcse,effect_bias,effect_bias_mcse,effect_rmse,control_bias,control_bias_mcse,effect_coverage95,effect_coverage95_mcse,prior_ess,prior_ess_mcse,roc_auc,roc_auc_mcse,sensitivity,specificity,fpr,ppv,fpr_mcse,oracle_spearman,roc_auc_obs
alt,-0.4,0.15,internal_only,2000,0.24,0.009549869109050658,-0.013502755938108613,0.002241197456427283,0.10111000706793409,0.021747598269765113,0.0017366937754665975,0.949,0.004919298730510276,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
alt,-0.4,0.15,eb_only,2000,0.6375,0.010749273231246846,0.013072228492145037,0.001442587485497934,0.06580972120992488,-0.004827386160488535,0.0003456219302643905,0.9745,0.00352489361541593,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
alt,-0.4,0.15,rule,2000,0.363,0.010752464833702085,0.0031842039201916547,0.001878808003634731,0.0840621690425288,0.005060638411464848,0.0012431624120060527,0.9715,0.003720735814324901,19.047011841664084,0.09606374585965902,0.5735910953187044,0.004161513142040299,0.7498091470608648,0.36805338338025234,0.6319466166197476,0.6406166617254669,0.004924517194916047,0.22957404322302585,0.6364803370590407
alt,-0.4,0.15,two_head,2000,0.435,0.01108546345445241,0.009643812123638565,0.0017819654584637584,0.08025353264309794,-0.0013989697919820619,0.0010939412498851234,0.9725,0.003656757443418962,61.96388039678163,0.38900216986741293,0.5733613937562132,0.0040678402562264555,0.7049760566312722,0.4138254613700344,0.5861745386299656,0.6437262357414448,0.0050290984050409574,0.24734169339813883,0.6488738543136692
alt,-0.4,0.15,two_head_pro,2000,0.4435,0.011108729675349921,0.010449239525830515,0.0017630576729180088,0.07951618043128249,-0.0022043971941740122,0.0010641811108539959,0.9745,0.00352489361541593,57.72577960891435,0.341647612923949,0.6059217384402407,0.004051200075013076,0.7114303560274828,0.42425190282556563,0.5757480971744344,0.6499080707538198,0.005046568930308076,0.24613255871842188,0.6820689647078536
alt,-0.4,0.15,two_head_pro_sam,2000,0.4435,0.011108729675349921,0.008897802855246951,0.001839575890331613,0.0827276602399297,-0.0006529605235904491,0.0011801608241159252,0.9695,0.0038451105315712303,56.736959024160875,0.35245890281876135,0.6059217384402407,0.004051200075013076,0.7114303560274828,0.42425190282556563,0.5757480971744344,0.6499080707538198,0.005046568930308076,0.24613255871842188,0.6820689647078536
alt,-0.4,0.15,two_head_pro_fixdisc,2000,0.3905,0.010908935557605975,0.005457432949400335,0.001826320905686868,0.08183730339792764,0.0027874093822561684,0.0011621460933669877,0.9735,0.00359150038284837,23.07460957979825,0.16734911141351072,0.5884411329202474,0.004121326780498696,0.6479283780970226,0.48555937858408926,0.5144406214159107,0.654239663629993,0.005103367635118653,0.26852506105389706,0.6650756561636191
alt,-0.4,0.15,selective_pro,2000,0.6375,0.010749273231246846,0.013072228492145037,0.001442587485497934,0.06580972120992488,-0.0048273861604885325,0.00034562193026439124,0.9745,0.00352489361541593,5.994630853803224e-14,1.6091508406995768e-15,0.5776361558081954,0.004103288552457692,0.716913040460823,0.4196642685851319,0.580335731414868,0.6498490186210367,0.005039166484562973,0.25591141283657387,0.6391564709851748
alt,-0.4,0.15,selective_pro_sam,2000,0.6375,0.010749273231246846,0.013072228492145037,0.001442587485497934,0.06580972120992488,-0.0048273861604885325,0.00034562193026439124,0.9745,0.00352489361541593,4.982169314118918e-14,1.331655423208861e-15,0.5776361558081954,0.004103288552457692,0.716913040460823,0.4196642685851319,0.580335731414868,0.6498490186210367,0.005039166484562973,0.25591141283657387,0.6391564709851748
alt,-0.4,0.15,robust_map_w0.5,2000,0.3365,0.010565693304274926,-0.0027546446359525962,0.001894348484535907,0.08474144129418908,0.0109994869676091,0.0012737021683535284,0.9715,0.003720735814324901,12.523446753748216,0.16004773096109265,0.5,0.0,1.0,0.0,1.0,0.600375,0.0,nan,0.5
alt,-0.4,0.15,power_prior,2000,0.704,0.010207448260951412,0.015837025780426024,0.001503703105774562,0.06907095137010702,-0.0075921834487695196,0.0005881556381407443,0.9475,0.004987171041783106,228.87195,0.8848411671279043,0.5,0.0,1.0,0.0,1.0,0.600375,0.0,nan,0.5
alt,-0.4,0.15,uip_dirichlet,2000,0.4105,0.010999767042987774,0.012789429144312716,0.0018690875768209716,0.08454024337036507,-0.004544586812656214,0.0012257813879436058,0.968,0.003935479640399632,11.869901200613175,0.10842162031224412,0.5007478850037179,0.001665218936677652,0.9981955722118121,0.00229381712021687,0.9977061828797831,0.6004926519706079,0.0004884822430831237,0.21080436954511103,0.4994407090471905
alt,-0.4,0.15,uip_js,2000,0.4155,0.011019522448817825,0.011667782966681145,0.0022020603265782857,0.09914346904085926,-0.003422940635024643,0.0016821109238572714,0.9245,0.005907611615534657,9.19124635332164,0.05708469112786026,0.5713031866945565,0.004965774959617458,0.30598931223540843,0.7421541028047127,0.2578458971952873,0.6406567858180762,0.004466786691620216,0.1261309880931489,0.6315426484986669
alt,-0.4,0.15,pooling,2000,0.76,0.009549869109050658,0.017956468594966003,0.0015091273038426035,0.0698218285179448,-0.009711626263309502,0.0006077022977253807,0.9305,0.005686376262612245,762.9065,2.9494705570930146,0.5,0.0,1.0,0.0,1.0,0.600375,0.0,nan,0.5
alt,-0.8,0.15,internal_only,2000,0.2395,0.00954305375652888,-0.01811414836613824,0.002304802725599601,0.10462811029206844,0.02478485719200719,0.0017917749258177004,0.953,0.004732388403332932,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
alt,-0.8,0.15,eb_only,2000,0.624,0.010831066429488834,0.010898157467073137,0.0014612006744124135,0.06623329638914859,-0.0042274486412041835,0.0003559150650813468,0.9655,0.00408103847078167,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
