split_strategy,split_label,train_count,eval_count,method,nll_count,mean_nll,median_nll,min_nll,max_nll,mean_nll_minus_rule
date_based,train_through_2019-12-31,458,956,weak_only,956,3.1687927711790094,3.2769667020129134,0.6931471805599448,6.514712690872329,0.025813575924166887
date_based,train_through_2019-12-31,458,956,rule,956,3.1429791952548425,3.1447524953750725,0.26287259505163246,7.261702569134122,0.0
date_based,train_through_2019-12-31,458,956,fixed_discount,956,3.135247353241252,3.0857356212605227,0.27329333499968317,7.307025535184705,-0.007731842013590562
date_based,train_through_2019-12-31,458,956,commensurate_like,956,3.1771393405984676,3.093350923039348,0.33449656669121586,7.263046633837583,0.0341601453436251
date_based,train_through_2019-12-31,458,956,rule_sam,956,2.9622367959770264,3.0282400378344203,0.26287259505163263,6.43663752604211,-0.1807423992778161
date_based,train_through_2019-12-31,458,956,two_head_trained,956,2.994194347598438,3.0431923866271973,0.15914423763751984,6.953003406524658,-0.14878484765640465
date_based,train_through_2020-12-31,629,785,weak_only,785,3.137901914158944,3.2580965380214977,0.6931471805599448,6.514712690872329,0.017943982739824005
date_based,train_through_2020-12-31,629,785,rule,785,3.11995793141912,3.1263095401327043,0.3400078914535205,7.078809874663671,0.0
date_based,train_through_2020-12-31,629,785,fixed_discount,785,3.1139793324464082,3.0717825881441367,0.27329333499968317,7.249718247736513,-0.005978598972711691
date_based,train_through_2020-12-31,629,785,commensurate_like,785,3.1578095780395152,3.0535015201243576,0.33449656669121586,7.263046633837583,0.03785164662039531
date_based,train_through_2020-12-31,629,785,rule_sam,785,2.9424655261547517,3.003014854193565,0.3400078914535206,6.042599393999248,-0.17749240526436827
date_based,train_through_2020-12-31,629,785,two_head_trained,785,2.974053621387026,3.0322744846343994,0.15914423763751984,6.953003406524658,-0.14590431003209403
date_based,train_through_2021-12-31,810,604,weak_only,604,3.1153742037511982,3.1780538303479418,0.6931471805599448,6.280395838960658,0.0016734569957614909
date_based,train_through_2021-12-31,810,604,rule,604,3.1137007467554367,3.1551589430150493,0.3400078914535205,7.078809874663671,0.0
date_based,train_through_2021-12-31,810,604,fixed_discount,604,3.1096294083517666,3.1003047988886974,0.27329333499968317,7.249718247736513,-0.004071338403670133
date_based,train_through_2021-12-31,810,604,commensurate_like,604,3.151140945805456,3.0974120001692644,0.33449656669121586,7.263046633837583,0.037440199050019274
date_based,train_through_2021-12-31,810,604,rule_sam,604,2.9353292651937455,2.995628857502047,0.3400078914535206,5.993316627074937,-0.17837148156169125
date_based,train_through_2021-12-31,810,604,two_head_trained,604,2.958108582466051,3.013069987297058,0.15914423763751984,6.953003406524658,-0.1555921642893856
date_based,train_through_2022-12-31,1017,397,weak_only,397,3.0842426348397987,3.1354942159291532,0.6931471805599448,6.280395838960658,0.018838582460995568
date_based,train_through_2022-12-31,1017,397,rule,397,3.065404052378803,3.1169387363155794,0.3400078914535205,6.939019557051066,0.0
date_based,train_through_2022-12-31,1017,397,fixed_discount,397,3.0583832627293397,3.0445224377234226,0.27329333499968317,6.901219854952524,-0.007020789649463399
date_based,train_through_2022-12-31,1017,397,commensurate_like,397,3.103201558280813,3.043105193944583,0.3400078914535205,7.263046633837583,0.03779750590200992
date_based,train_through_2022-12-31,1017,397,rule_sam,397,2.891806574130032,2.9241316417297436,0.3400078914535206,5.880532986400567,-0.17359747824877125
date_based,train_through_2022-12-31,1017,397,two_head_trained,397,2.9109338467157158,2.95900297164917,0.15914423763751984,6.953003406524658,-0.15447020566308733
