scenario,method,n_replicates,bias,bias_mcse,empirical_se,rmse,rmse_mcse,coverage95,coverage95_mcse,interval_width,interval_width_mcse,reject_rate,reject_rate_mcse,calibration_rate,calibration_rate_mcse,type1,type1_mcse,power,power_mcse,oracle_spearman,oracle_spearman_mcse,oracle_kl,oracle_kl_mcse,ess_d000_005,ess_d005_010,ess_d010_020,ess_d020_plus,prior_ess,prior_ess_mcse,hist_mass,hist_mass_mcse,mean_nll,mean_nll_mcse,roc_auc,roc_auc_mcse,pr_auc,pr_auc_mcse,sensitivity,specificity,fpr,ppv,npv,f1,sensitivity_mcse,specificity_mcse,fpr_mcse,ppv_mcse,roc_auc_obs,oracle_spearman_obs
S1_exchangeable,weak_only,2000,0.009776317079231166,0.0016086279004454821,0.07194002671797725,0.07258344257538944,0.0013011255578051163,0.9515,0.004803527349771207,0.26956059524405507,0.0014370455774034658,nan,nan,0.0325,0.003965081966365891,0.0325,0.003965081966365891,0.689,0.010350821223458553,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.481949818813463,0.0051493396873934175,0.5,0.0,0.568723359315387,0.005548735911357053,0.0,1.0,0.0,nan,0.5512083333333333,nan,0.0,0.0,0.0,nan,0.5,nan
S1_exchangeable,eb_only,2000,0.0012599645999061477,0.001606320834606245,0.07183685159707522,0.07182994146976268,0.001302289534198377,0.947,0.005009540897128201,0.2658542027534418,0.0013769253078405896,nan,nan,0.0275,0.0036567574434189644,0.0275,0.0036567574434189644,0.668,0.010530337126607106,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.303801985112333,0.011714931877538377,0.5,0.0,0.568723359315387,0.005548735911357053,0.0,1.0,0.0,nan,0.5512083333333333,nan,0.0,0.0,0.0,nan,0.5,nan
S1_exchangeable,rule,2000,0.005785523589514014,0.0013873547131880944,0.06204438895186607,0.06229810374734578,0.0012061893595824488,0.962,0.004275277768753747,0.24902965844806008,0.0013764652719453166,nan,nan,0.024,0.00342227994179319,0.024,0.00342227994179319,0.7375,0.009838540288071193,0.2572266522249483,0.007708798372668982,2.107258420058264,0.0562365728972331,nan,nan,nan,nan,13.164912984631023,0.060401137095457885,0.8000000000000003,5.5146171449543824e-18,2.888616611827451,0.010408568864933227,0.6101323098015435,0.0049116270070473835,0.6330525955546649,0.005738072543179385,0.8268498746634482,0.26404112177791217,0.7359588782220878,0.4777384400815363,0.6519223590892124,0.6055825655322477,0.0036458326056985012,0.0038326490268308527,0.0038326490268308527,0.0036584141871683737,0.6365344084094084,0.2902471686513998
S1_exchangeable,rule_sam,2000,0.006031778811579297,0.0013942897232480744,0.062354532030241265,0.06263007246131723,0.0012171737117761237,0.961,0.004328914413568374,0.24893455857321653,0.001373870900808164,nan,nan,0.0245,0.003456859123539749,0.0245,0.003456859123539749,0.736,0.009856571412007322,0.2572266522249483,0.007708798372668982,2.107258420058264,0.0562365728972331,nan,nan,nan,nan,12.818187585407843,0.06780214379571804,0.778724897526405,0.0019738496833273836,2.8728344471388483,0.009580065251572326,0.6101323098015435,0.0049116270070473835,0.6330525955546649,0.005738072543179385,0.8268498746634482,0.26404112177791217,0.7359588782220878,0.4777384400815363,0.6519223590892124,0.6055825655322477,0.0036458326056985012,0.0038326490268308527,0.0038326490268308527,0.0036584141871683737,0.6365344084094084,0.2902471686513998
S1_exchangeable,two_head,2000,0.003927048645002808,0.001287680660370978,0.05758682979802653,0.05770620898797634,0.0012004201872268386,0.967,0.003994433626936366,0.2359396612015019,0.0014194822879771002,nan,nan,0.0185,0.003013117156700018,0.0185,0.003013117156700018,0.766,0.00946688966873492,0.19493862585551508,0.007166106602188894,2.214349675138855,0.056205618558544064,43.67145679327125,43.944939549401056,44.12155730871529,43.84360982777304,36.31996139265073,0.18502452399188896,0.8000000000000003,5.436918808840414e-18,2.8028417121511637,0.012444950497852866,0.6331135499595872,0.0047831928007249355,0.6433670965908763,0.005785539852019181,0.7332652492804753,0.4341975961901882,0.5658024038098117,0.5134239095104987,0.6665893002204943,0.6039611531696871,0.0042613022449452895,0.0043093581851960105,0.0043093581851960105,0.004029887357190797,0.6580676127551127,0.2326782632733058
S1_exchangeable,two_head_pro,2000,0.003998284726445994,0.00128160863136136,0.057315280405489395,0.05744027444249922,0.0011914850671920151,0.967,0.003994433626936366,0.23569628060075093,0.0014169347710349196,nan,nan,0.0195,0.0030919047527373806,0.0195,0.0030919047527373806,0.7675,0.009445733163709422,0.20828128973718268,0.00712249531662162,2.2247483109515023,0.056385322524312304,34.90118036481188,31.43102370204395,24.46976483502501,20.35155516875344,32.765523648353664,0.18153914862929532,0.8000000000000003,5.587926451181886e-18,2.802124662564843,0.012968259023204845,0.6499861227941797,0.004767928319032887,0.6530512087020933,0.005994036058278339,0.735122087085693,0.45808451130092975,0.5419154886990702,0.524822695035461,0.6799057556378324,0.6124216876788614,0.004251817310009932,0.0043318666354025094,0.0043318666354025094,0.004065675413098052,0.6741546452483953,0.24742683180037825
S1_exchangeable,two_head_pro_sam,2000,0.004284110331560949,0.0013085131748975147,0.05851848817049829,0.05866050504696371,0.0012468849200185108,0.965,0.00410944035119139,0.23548418285356695,0.0014055375394702568,nan,nan,0.021,0.0032061659345704488,0.021,0.0032061659345704488,0.768,0.009438643970401681,0.20828128973718268,0.00712249531662162,2.2247483109515023,0.056385322524312304,nan,nan,nan,nan,31.20725019412167,0.20907584199652202,0.7628861305774346,0.0028253860032722883,2.7671262111921986,0.011240979211253001,0.6499861227941797,0.004767928319032887,0.6530512087020933,0.005994036058278339,0.735122087085693,0.45808451130092975,0.5419154886990702,0.524822695035461,0.6799057556378324,0.6124216876788614,0.004251817310009932,0.0043318666354025094,0.0043318666354025094,0.004065675413098052,0.6741546452483953,0.24742683180037825
S1_exchangeable,two_head_pro_fixdisc,2000,0.005670522117113579,0.0013641238780011283,0.06100547441882306,0.06125326029030467,0.0011874625670379561,0.9635,0.004193313129257102,0.24672661476846058,0.0013643977431564247,nan,nan,0.0235,0.0033873108803297047,0.0235,0.0033873108803297047,0.7445,0.009752429184567299,0.23739724048993593,0.007237925847624573,2.1735239944920024,0.05648121385359837,15.286046511627898,15.382470906068159,15.445410764872506,15.348726114649699,13.23873477638785,0.07136627989737393,0.8000000000000003,5.467172055320377e-18,2.858748145041298,0.011221596070123968,0.6499152510523628,0.004740420372670256,0.6529560432261068,0.005966077974122431,0.7383715532448241,0.45793332829389977,0.5420666717061002,0.5258529489553029,0.6825146462370437,0.6142498551843986,0.004234985685977632,0.004331755854860615,0.004331755854860615,0.004060274068474807,0.6737409581159581,0.2740399409373768
S1_exchangeable,selective_pro,2000,0.002712171410279893,0.001255096924507609,0.05612964083099871,0.056181110573623835,0.0012316276095666028,0.9665,0.004023540107914917,0.22753708673341677,0.0013650324496059449,nan,nan,0.018,0.0029728773940409987,0.018,0.0029728773940409987,0.778,0.009292900515985306,0.19562187512187706,0.007104544592529756,2.1657123017478983,0.05614698012931917,43.674403388788534,43.949891210817015,44.12969661488357,43.85343561388948,43.860725864818164,0.20830378890744874,0.999999999995857,1.7031460949190398e-13,2.7122579749800773,0.015423287751365505,0.6462245586143032,0.0047708605541088795,0.6503523531684249,0.005963993202901587,0.7760653606907436,0.4017688411822511,0.5982311588177489,0.5136729552018682,0.6878478063931668,0.6181777843514272,0.004016814494611753,0.0042624483816065175,0.0042624483816065175,0.003918084056855311,0.6712024399524399,0.23553225859931395
S1_exchangeable,selective_base,2000,0.0039588616198926565,0.0012938509890932299,0.05786277528735602,0.05798361233054164,0.0011948081955393223,0.965,0.00410944035119139,0.2356124425531915,0.0013444268740498348,nan,nan,0.02,0.0031304951684997056,0.02,0.0031304951684997056,0.7665,0.00945985597141944,0.18845162504313986,0.007172339883463628,2.170064256808114,0.0560516485533496,26.12025942827214,26.25367293992039,26.071190525678865,25.782763808175197,27.337005955447022,0.1507070612264059,0.999999998859001,5.6163795736031264e-11,2.741473890228243,0.013689383708156682,0.6337750324782974,0.004799636413513906,0.6439080734721737,0.005805691398227459,0.7616748677003063,0.3953435633834757,0.6046564366165244,0.5063259890143801,0.6707708092856227,0.6082894639282271,0.004105269960175837,0.004250873372527562,0.004250873372527561,0.0039276929233949725,0.6574082472519973,0.2251741946497103
