label,query_count,mean_topk_count,mean_topk_endpoint_hit_count,mean_topk_endpoint_hit_rate,mean_topk_result_ready_count,mean_topk_result_ready_rate,mean_topk_endpoint_and_result_ready_count,mean_topk_endpoint_and_result_ready_rate,mean_rerank_count,mean_rerank_component_ready_count,mean_rerank_component_ready_rate,mean_rerank_mean_overall_similarity,mean_rerank_mean_disease_match,mean_rerank_mean_regimen_match,mean_rerank_mean_endpoint_match,mean_rerank_mean_eligibility_match,mean_rerank_mean_result_usability,mean_rerank_mean_redflag_count
hashing,1470,100.0,97.88639455782312,0.9788639455782313,100.0,1.0,97.88639455782312,0.9788639455782313,10.0,5.449659863945579,0.5449659863945578,44.276786394557824,1.247965306122449,0.5406816326530612,2.2280646258503403,0.0,3.645034013605442,3.738707482993197
secret_pool,1470,100.0,97.88639455782312,0.9788639455782313,100.0,1.0,97.88639455782312,0.9788639455782313,10.0,6.3612244897959185,0.6361224489795918,48.03414829931973,1.3899938775510203,0.5193755102040816,3.332734013605442,0.0,3.8905442176870753,3.1827891156462584
