query_nct_id,scenario,candidate_count,top_candidate_nct_id,top_section_weighted_score,mean_section_weighted_score
NCT00452023,disease_endpoint_heavy,100,NCT04284774,0.865364,0.7931465799999999
NCT00452023,regimen_result_heavy,100,NCT04284774,0.8198139999999999,0.77725033
NCT00530868,default_secret_weights,100,NCT00414076,0.815532,0.7550020000000001
NCT00530868,disease_endpoint_heavy,100,NCT02401347,0.8347549999999998,0.75651856
NCT00530868,regimen_result_heavy,100,NCT00414076,0.791446,0.7338791599999999
NCT00538031,default_secret_weights,100,NCT05553808,0.833334,0.76669516
NCT00538031,disease_endpoint_heavy,100,NCT05553808,0.875237,0.76574529
NCT00538031,regimen_result_heavy,100,NCT05553808,0.8088569999999999,0.7528466899999999
NCT00544414,default_secret_weights,100,NCT02560012,0.78012,0.70949506
NCT00544414,disease_endpoint_heavy,100,NCT02560012,0.8319369999999999,0.72080811
NCT00544414,regimen_result_heavy,100,NCT00626990,0.7199769999999999,0.6463428099999998
NCT00562978,default_secret_weights,100,NCT00695409,0.819438,0.7287581
NCT00562978,disease_endpoint_heavy,100,NCT00695409,0.8673150000000001,0.71867671
NCT00562978,regimen_result_heavy,100,NCT00695409,0.7916799999999999,0.7045163099999999
NCT00567567,default_secret_weights,100,NCT00980460,0.7917260000000002,0.70428314
NCT00567567,disease_endpoint_heavy,100,NCT00980460,0.821638,0.6919496600000001
NCT00567567,regimen_result_heavy,100,NCT00980460,0.7649979999999998,0.67660776
NCT00576680,default_secret_weights,100,NCT03331250,0.8664720000000001,0.7929013800000001
NCT00576680,disease_endpoint_heavy,100,NCT03144804,0.9198369999999999,0.80243927
NCT00576680,regimen_result_heavy,100,NCT03144804,0.838957,0.7750865699999998
NCT00585195,default_secret_weights,100,NCT04068519,0.7895640000000002,0.74448884
NCT00585195,disease_endpoint_heavy,100,NCT04068519,0.8134879999999999,0.73239642
NCT00585195,regimen_result_heavy,100,NCT03383692,0.7812409999999999,0.73296922
NCT00625846,default_secret_weights,100,NCT01178944,0.836146,0.7747045200000001
NCT00625846,disease_endpoint_heavy,100,NCT01178944,0.8866420000000002,0.7840634900000001
NCT00625846,regimen_result_heavy,100,NCT01178944,0.8099569999999999,0.7549809399999999
NCT00674479,default_secret_weights,100,NCT03331250,0.8286300000000001,0.78107594
NCT00674479,disease_endpoint_heavy,100,NCT03331250,0.838963,0.77498194
NCT00674479,regimen_result_heavy,100,NCT03331250,0.8080930000000001,0.7683655899999999
NCT00703664,default_secret_weights,100,NCT03269552,0.853818,0.7929448400000001
NCT00703664,disease_endpoint_heavy,100,NCT03178201,0.907285,0.80798529
NCT00703664,regimen_result_heavy,100,NCT03269552,0.8203559999999999,0.76557369
NCT00729586,default_secret_weights,100,NCT02367859,0.7798100000000001,0.73735388
NCT00729586,disease_endpoint_heavy,100,NCT02724878,0.803125,0.72960058
NCT00729586,regimen_result_heavy,100,NCT02367859,0.7532169999999999,0.71393958
NCT00745134,default_secret_weights,100,NCT02524275,0.7962199999999999,0.7465469200000001
NCT00745134,disease_endpoint_heavy,100,NCT02524275,0.8378740000000001,0.75337715
NCT00745134,regimen_result_heavy,100,NCT02420691,0.7723879999999999,0.7164286999999999
NCT00783367,default_secret_weights,100,NCT01316523,0.820822,0.7649454200000001
NCT00783367,disease_endpoint_heavy,100,NCT01316523,0.841855,0.7599911699999999
NCT00783367,regimen_result_heavy,100,NCT01316523,0.808465,0.7417032699999999
NCT00788957,default_secret_weights,100,NCT03704467,0.7805860000000001,0.7350964000000001
NCT00788957,disease_endpoint_heavy,100,NCT05177770,0.802973,0.7184383
NCT00788957,regimen_result_heavy,100,NCT05177770,0.769763,0.72603765
NCT00794950,default_secret_weights,100,NCT04552769,0.8603360000000001,0.8094580800000002
NCT00794950,disease_endpoint_heavy,100,NCT04552769,0.894917,0.81887743
NCT00794950,regimen_result_heavy,100,NCT04552769,0.8346319999999998,0.79213353
NCT00804856,default_secret_weights,100,NCT03245151,0.812798,0.7531975
NCT00804856,disease_endpoint_heavy,100,NCT03245151,0.844271,0.74358952
NCT00804856,regimen_result_heavy,100,NCT03245151,0.797856,0.7440219699999999
NCT00819169,default_secret_weights,100,NCT04753216,0.7860400000000001,0.7337915000000002
NCT00819169,disease_endpoint_heavy,100,NCT04753216,0.81875,0.73007327
NCT00819169,regimen_result_heavy,100,NCT04753216,0.7509499999999999,0.7138541699999998
NCT00843882,default_secret_weights,100,NCT02309515,0.800896,0.74181374
NCT00843882,disease_endpoint_heavy,100,NCT02309515,0.825635,0.7437916699999999
NCT00843882,regimen_result_heavy,100,NCT02309515,0.7758999999999999,0.7151542199999998
NCT00866749,default_secret_weights,100,NCT01363128,0.8446440000000001,0.7580581400000002
NCT00866749,disease_endpoint_heavy,100,NCT01363128,0.891995,0.75933516
NCT00866749,regimen_result_heavy,100,NCT00390793,0.8172799999999999,0.7329504599999999
NCT00879437,default_secret_weights,100,NCT03137888,0.784042,0.73675972
NCT00879437,disease_endpoint_heavy,100,NCT03137888,0.801822,0.71506783
NCT00879437,regimen_result_heavy,100,NCT01835626,0.755814,0.71833633
NCT00890617,default_secret_weights,100,NCT01752400,0.802962,0.7598400399999999
NCT00890617,disease_endpoint_heavy,100,NCT01752400,0.8149080000000001,0.7470538600000001
NCT00890617,regimen_result_heavy,100,NCT01752400,0.774733,0.7394839099999999
NCT00891930,default_secret_weights,100,NCT01202409,0.7927740000000001,0.7337316800000001
NCT00891930,disease_endpoint_heavy,100,NCT01202409,0.7953499999999999,0.71250141
NCT00891930,regimen_result_heavy,100,NCT01202409,0.772125,0.7196343599999999
NCT00900562,default_secret_weights,100,NCT01222767,0.881706,0.79001316
NCT00900562,disease_endpoint_heavy,100,NCT01222767,0.9415180000000001,0.7958681400000001
NCT00900562,regimen_result_heavy,100,NCT01222767,0.8610129999999999,0.77028409
NCT00910650,default_secret_weights,100,NCT02837042,0.7813720000000001,0.742992
NCT00910650,disease_endpoint_heavy,100,NCT02837042,0.799662,0.74171726
NCT00910650,regimen_result_heavy,100,NCT02837042,0.7367269999999999,0.7031617099999999
NCT00916578,default_secret_weights,100,NCT01387295,0.7883380000000001,0.7542725
NCT00916578,disease_endpoint_heavy,100,NCT01387295,0.7965210000000001,0.73938148
NCT00916578,regimen_result_heavy,100,NCT03624478,0.7690939999999999,0.7366927299999999
NCT00922974,default_secret_weights,100,NCT01979211,0.796324,0.7484511
NCT00922974,disease_endpoint_heavy,100,NCT01979211,0.8165870000000001,0.75409884
NCT00922974,regimen_result_heavy,100,NCT01979211,0.7793019999999999,0.7208347399999999
NCT00923013,default_secret_weights,100,NCT03901963,0.7463160000000001,0.7010278600000001
NCT00923013,disease_endpoint_heavy,100,NCT00720876,0.7686649999999999,0.6973441600000001
NCT00923013,regimen_result_heavy,100,NCT00720876,0.7014449999999999,0.65599176
NCT00923351,default_secret_weights,100,NCT04671901,0.7463320000000001,0.7098333800000001
NCT00923351,disease_endpoint_heavy,100,NCT01676818,0.7895289999999999,0.7290031499999999
NCT00923351,regimen_result_heavy,100,NCT01369875,0.685678,0.6453957
NCT00942877,default_secret_weights,100,NCT01901432,0.8133980000000002,0.7681839400000001
NCT00942877,disease_endpoint_heavy,100,NCT01901432,0.8283349999999999,0.7536709500000001
NCT00942877,regimen_result_heavy,100,NCT01901432,0.7988449999999999,0.75676485
NCT00946270,default_secret_weights,100,NCT02875613,0.8361440000000001,0.7822856200000001
NCT00946270,disease_endpoint_heavy,100,NCT02875613,0.881607,0.7988844900000001
NCT00946270,regimen_result_heavy,100,NCT02010645,0.7909029999999999,0.7544201899999998
NCT00946647,default_secret_weights,100,NCT02698189,0.8036620000000001,0.7460118200000001
NCT00946647,disease_endpoint_heavy,100,NCT02698189,0.830178,0.7326521100000001
NCT00946647,regimen_result_heavy,100,NCT02698189,0.7763829999999999,0.73430416
NCT00972309,default_secret_weights,100,NCT02362464,0.7740340000000001,0.6765287400000001
NCT00972309,disease_endpoint_heavy,100,NCT02362464,0.7900369999999999,0.66886009
NCT00972309,regimen_result_heavy,100,NCT02362464,0.7591269999999999,0.62974129
NCT00978250,default_secret_weights,100,NCT02448771,0.790378,0.7464454
NCT00978250,disease_endpoint_heavy,100,NCT02448771,0.812268,0.72980518
NCT00978250,regimen_result_heavy,100,NCT02448771,0.7669679999999999,0.7307724299999999
NCT00983619,default_secret_weights,100,NCT02860286,0.8010560000000001,0.75036102
NCT00983619,disease_endpoint_heavy,100,NCT02860286,0.8225500000000001,0.73675942
NCT00983619,regimen_result_heavy,100,NCT02860286,0.77718,0.7352475199999999
NCT01002755,default_secret_weights,100,NCT03178201,0.8651939999999999,0.7931869
NCT01002755,disease_endpoint_heavy,100,NCT03178201,0.929655,0.80660505
NCT01002755,regimen_result_heavy,100,NCT02225275,0.8355449999999999,0.7657889499999999
NCT01009788,default_secret_weights,100,NCT03130439,0.839624,0.77235624
NCT01009788,disease_endpoint_heavy,100,NCT03130439,0.883845,0.77253418
NCT01009788,regimen_result_heavy,100,NCT00576680,0.8118009999999998,0.7571327299999999
NCT01010126,default_secret_weights,100,NCT04753216,0.843552,0.7850557
NCT01010126,disease_endpoint_heavy,100,NCT04753216,0.8759849999999999,0.7926388299999999
NCT01010126,regimen_result_heavy,100,NCT04753216,0.8229049999999999,0.7625899299999999
NCT01012817,default_secret_weights,100,NCT02522715,0.76763,0.73261752
NCT01012817,disease_endpoint_heavy,100,NCT03456700,0.7719320000000002,0.7232204900000001
NCT01012817,regimen_result_heavy,100,NCT02522715,0.7536309999999999,0.70740004
NCT01036087,default_secret_weights,100,NCT03301350,0.7976460000000001,0.7184914400000001
NCT01036087,disease_endpoint_heavy,100,NCT03301350,0.8104979999999999,0.69709952
NCT01036087,regimen_result_heavy,100,NCT03301350,0.785413,0.7022674199999999
NCT01076543,default_secret_weights,100,NCT02875067,0.8120940000000001,0.74989806
NCT01076543,disease_endpoint_heavy,100,NCT02875067,0.837983,0.73938863
NCT01076543,regimen_result_heavy,100,NCT01003769,0.7837719999999999,0.7313784299999999
NCT01084252,default_secret_weights,100,NCT03194867,0.804754,0.7460786
NCT01084252,disease_endpoint_heavy,100,NCT02812706,0.8350540000000001,0.73799797
NCT01084252,regimen_result_heavy,100,NCT02990338,0.7898320000000001,0.7321238699999999
NCT01090414,default_secret_weights,100,NCT05136898,0.8255780000000001,0.7783054200000001
NCT01090414,disease_endpoint_heavy,100,NCT02454478,0.8472329999999999,0.7727242100000001
NCT01090414,regimen_result_heavy,100,NCT05136898,0.8079949999999999,0.76665651
NCT01097642,default_secret_weights,100,NCT04172597,0.8063500000000001,0.7404487000000001
NCT01097642,disease_endpoint_heavy,100,NCT01492673,0.8343010000000001,0.72313201
NCT01097642,regimen_result_heavy,100,NCT03446157,0.7897979999999999,0.7339284599999999
NCT01121588,default_secret_weights,100,NCT01534052,0.8255560000000002,0.7543953800000002
NCT01121588,disease_endpoint_heavy,100,NCT03090737,0.8489599999999999,0.7354611099999999
NCT01121588,regimen_result_heavy,100,NCT01534052,0.8108339999999999,0.7498336099999999
NCT01125176,default_secret_weights,100,NCT00720876,0.7939900000000001,0.75834462
NCT01125176,disease_endpoint_heavy,100,NCT04113018,0.811297,0.75302295
NCT01125176,regimen_result_heavy,100,NCT00720876,0.7728649999999999,0.7345554
NCT01130519,default_secret_weights,100,NCT02724878,0.8415280000000002,0.7778097000000002
NCT01130519,disease_endpoint_heavy,100,NCT02724878,0.8791599999999999,0.77993439
NCT01130519,regimen_result_heavy,100,NCT02724878,0.8193599999999999,0.75714474
NCT01134575,default_secret_weights,100,NCT01243190,0.8347520000000002,0.7852567800000001
NCT01134575,disease_endpoint_heavy,100,NCT01243190,0.866231,0.7975780299999999
NCT01134575,regimen_result_heavy,100,NCT02481297,0.8093609999999999,0.7592779799999999
NCT01149083,default_secret_weights,100,NCT02971501,0.7900820000000001,0.71767104
